run_idx,status,error_message,n_frames,duration_sec,mean_separation_deg,min_separation_deg,max_separation_deg,mean_sdr_spk0,mean_sdr_spk1,mean_sir_spk0,mean_sir_spk1,mean_sar_spk0,mean_sar_spk1,mean_nr_spk0,mean_nr_spk1,n_relock_events,mean_relock_latency_sec,pct_relock_failed,close_threshold_deg,avg_sir_close,avg_sir_far,avg_sir_close_spk0,avg_sir_close_spk1,avg_sir_far_spk0,avg_sir_far_spk1,n_windows_close,n_windows_far
5,ok,,339,10.848,130.0,130.0,130.0,0.08420592715923651,-0.47238704869310705,6.343298198332775,3.8616453969976305,2.666691845553295,4.246625993517152,11.306350421705092,14.598350014745535,2,nan,1.0,45.0,nan,5.102471797665204,nan,nan,6.343298198332775,3.8616453969976305,0,6
6,ok,,437,13.984,nan,nan,nan,-8.445433245387557,-7.4963132379665955,3.174114382737474,2.482449006207085,-5.08810306548885,-4.016178091726863,20.415676858646922,nan,3,1.024,0.33333333333333337,45.0,nan,nan,nan,nan,nan,nan,0,0
7,ok,,317,10.144,40.0,40.0,40.0,-0.7221186028189741,0.3677418777432219,5.131129092568508,5.792623249025919,3.4201673593164714,4.623217702352841,14.517359419387482,20.57339819289613,2,nan,1.0,45.0,5.461876170797214,nan,5.131129092568508,5.792623249025919,nan,nan,5,0
8,ok,,357,11.424,160.0,160.0,160.0,-2.3718891532925594,-3.8002116977964917,1.8723752778570681,4.043461343474019,2.6841803264244732,-1.1444427665904366,11.58078456343803,14.155010210538547,2,nan,1.0,45.0,nan,2.957918310665544,nan,nan,1.8723752778570681,4.043461343474019,0,7
9,ok,,366,11.712,90.0,90.0,90.0,-3.3241932082566215,-3.236897064946181,2.9296778067563882,3.3023696916528995,1.373655081599359,1.013523715261566,10.485926454542067,7.75027445983117,2,nan,1.0,45.0,nan,3.1160237492046448,nan,nan,2.9296778067563882,3.3023696916528995,0,6
10,ok,,450,14.4,40.0,40.0,40.0,-6.3147470899290905,3.1073982355789145,-0.8030300486465757,10.636712126990936,-0.8984411866633538,4.731124695631688,9.361969335336388,15.118183150176906,2,2.432,0.5,45.0,4.91684103917218,nan,-0.8030300486465757,10.636712126990936,nan,nan,9,0
11,ok,,462,14.784,140.0,140.0,140.0,-2.357053180231975,-2.5487016500521866,2.608871015213623,4.441956256966698,1.6400651775663682,-0.12790280438779963,16.172468038414678,21.166036497329717,2,2.6559999999999997,0.0,45.0,nan,3.52541363609016,nan,nan,2.608871015213623,4.441956256966698,0,7
12,ok,,382,12.224,70.0,70.0,70.0,-3.7797901238593354,3.567649676515314,0.33582075859717797,11.029922003488247,2.25290349674096,5.391560594876585,13.40746578349691,12.131013607485908,2,nan,1.0,45.0,nan,5.682871381042713,nan,nan,0.33582075859717797,11.029922003488247,0,6
13,ok,,391,12.512,130.0,130.0,130.0,0.7045416860908067,-3.137736981570993,6.2764377321924805,3.019301974982846,3.940883558624026,1.486090326632477,12.450045594667415,13.57576086841026,2,nan,1.0,45.0,nan,4.647869853587664,nan,nan,6.2764377321924805,3.019301974982846,0,8
14,ok,,399,12.768,30.0,30.0,30.0,-0.9419913657740826,-2.4449810741940277,5.115980837341989,2.477079322117188,1.8902602577725007,1.9688177617008815,15.111092810563619,14.154019859923816,2,3.072,0.5,45.0,3.796530079729589,nan,5.115980837341989,2.477079322117188,nan,nan,8,0
15,ok,,293,9.376,nan,nan,nan,-14.605954401369509,-2.327819893558122,0.35690959555152607,3.4992512494392023,-11.627952674622222,0.6365110284390577,19.234624299385786,nan,2,0.832,0.5,45.0,nan,nan,nan,nan,nan,nan,0,0
16,ok,,348,11.136,40.0,40.0,40.0,1.3164194484333016,-0.22985709225861592,4.886223425963001,6.679855357522847,5.23975536597107,1.7029445579719564,6.993751162506712,13.286432964634196,2,nan,1.0,45.0,5.783039391742923,nan,4.886223425963001,6.679855357522847,nan,nan,5,0
17,ok,,377,12.064,90.0,90.0,90.0,2.740835014008639,1.47477793919583,6.964802169799346,11.711778136632065,5.796108662754544,2.586908790910834,10.022319395206598,15.144064103183052,2,3.584,0.5,45.0,nan,9.338290153215706,nan,nan,6.964802169799346,11.711778136632065,0,5
18,ok,,371,11.872,140.0,140.0,140.0,-4.066620657726625,-2.027128803478719,-0.05723669204764218,5.351220756447423,1.6425804903657089,0.4360870294057702,17.51326067648825,18.599935226148773,2,nan,1.0,45.0,nan,2.64699203219989,nan,nan,-0.05723669204764218,5.351220756447423,0,7
19,ok,,388,12.416,50.0,50.0,50.0,-6.718882668949536,-2.2178249712049505,-0.8457576668841561,3.9238307527270386,-1.459651836299388,2.0382018451423134,17.235801069834324,14.004852336069535,2,nan,1.0,45.0,nan,1.5390365429214414,nan,nan,-0.8457576668841561,3.9238307527270386,0,5
20,ok,,415,13.28,70.0,70.0,70.0,-4.2400028116879005,-2.3913118020178525,2.5920502797876575,2.767254080025207,-0.9638237193098295,1.907702034893576,9.37794315388531,12.983493481630127,2,nan,1.0,45.0,nan,2.679652179906433,nan,nan,2.5920502797876575,2.767254080025207,0,7
