run_idx,method,wav_length_sec,time_sec,T60,SNR_diffuse,mean_separation_deg,sdr_spk0,sdr_spk1,sir_spk0,sir_spk1
2000,GEVD,12.224,9.07,0.3,10.0,60.0,N/A,N/A,N/A,N/A
2000,PASTD,12.224,3.13,0.3,10.0,60.0,N/A,N/A,N/A,N/A
2001,GEVD,12.512,6.54,0.3,10.0,30.0,N/A,N/A,N/A,N/A
2001,PASTD,12.512,3.53,0.3,10.0,30.0,N/A,N/A,N/A,N/A
2002,GEVD,14.048,7.04,0.3,10.0,30.0,N/A,N/A,N/A,N/A
2002,PASTD,14.048,3.74,0.3,10.0,30.0,N/A,N/A,N/A,N/A
2003,GEVD,13.408,5.74,0.3,10.0,80.0,N/A,N/A,N/A,N/A
2003,PASTD,13.408,3.34,0.3,10.0,80.0,N/A,N/A,N/A,N/A
2004,GEVD,12.672,5.54,0.3,10.0,40.0,N/A,N/A,N/A,N/A
2004,PASTD,12.672,2.99,0.3,10.0,40.0,N/A,N/A,N/A,N/A
2005,GEVD,12.64,5.58,0.3,10.0,90.0,N/A,N/A,N/A,N/A
2005,PASTD,12.64,3.24,0.3,10.0,90.0,N/A,N/A,N/A,N/A
2006,GEVD,12.8,5.72,0.3,10.0,140.0,N/A,N/A,N/A,N/A
2006,PASTD,12.8,3.3,0.3,10.0,140.0,N/A,N/A,N/A,N/A
2007,GEVD,14.272,6.48,0.3,10.0,130.0,N/A,N/A,N/A,N/A
2007,PASTD,14.272,3.79,0.3,10.0,130.0,N/A,N/A,N/A,N/A
2008,GEVD,14.144,6.73,0.3,10.0,40.0,N/A,N/A,N/A,N/A
2008,PASTD,14.144,3.75,0.3,10.0,40.0,N/A,N/A,N/A,N/A
2009,GEVD,12.224,4.78,0.3,10.0,40.0,N/A,N/A,N/A,N/A
2009,PASTD,12.224,2.91,0.3,10.0,40.0,N/A,N/A,N/A,N/A
2010,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2010,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2011,GEVD,20.256,10.74,0.3,10.0,160.0,N/A,N/A,N/A,N/A
2011,PASTD,20.256,6.27,0.3,10.0,160.0,N/A,N/A,N/A,N/A
2012,GEVD,20.064,12.3,0.3,10.0,90.0,N/A,N/A,N/A,N/A
2012,PASTD,20.064,6.61,0.3,10.0,90.0,N/A,N/A,N/A,N/A
2013,GEVD,20.288,10.26,0.3,10.0,50.0,N/A,N/A,N/A,N/A
2013,PASTD,20.288,5.96,0.3,10.0,50.0,N/A,N/A,N/A,N/A
2014,GEVD,20.704,10.41,0.3,10.0,120.0,N/A,N/A,N/A,N/A
2014,PASTD,20.704,6.31,0.3,10.0,120.0,N/A,N/A,N/A,N/A
2015,GEVD,20.0,9.63,0.3,10.0,60.0,N/A,N/A,N/A,N/A
2015,PASTD,20.0,5.78,0.3,10.0,60.0,N/A,N/A,N/A,N/A
2016,GEVD,21.888,11.94,0.3,10.0,110.0,N/A,N/A,N/A,N/A
2016,PASTD,21.888,6.72,0.3,10.0,110.0,N/A,N/A,N/A,N/A
2017,GEVD,21.568,10.77,0.3,10.0,20.0,N/A,N/A,N/A,N/A
2017,PASTD,21.568,5.57,0.3,10.0,20.0,N/A,N/A,N/A,N/A
