run_idx,method,wav_length_sec,time_sec,T60,SNR_diffuse,mean_separation_deg,sdr_spk0,sdr_spk1,sir_spk0,sir_spk1
1060,GEVD,14.304,7.49,0.2,30.0,60.0,15.64,15.99,25.87,24.25
1061,GEVD,17.568,5.09,0.2,30.0,90.0,13.15,2.45,27.69,5.3
1062,GEVD,13.056,5.9,0.2,30.0,50.0,10.06,7.14,20.5,9.44
1063,GEVD,14.336,8.14,0.2,30.0,150.0,5.94,9.62,11.23,16.75
1064,GEVD,14.88,6.57,0.2,30.0,110.0,2.86,14.37,4.42,29.19
1065,GEVD,13.76,6.19,0.2,30.0,100.0,10.5,15.55,12.14,25.32
1066,GEVD,15.968,6.81,0.2,30.0,30.0,6.74,8.33,8.56,17.04
1067,GEVD,12.128,4.54,0.2,30.0,110.0,16.64,10.85,20.6,15.18
1068,GEVD,12.096,3.21,0.2,30.0,40.0,16.09,11.63,21.48,15.7
1069,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1070,GEVD,33.056,15.72,0.2,30.0,90.0,6.48,8.77,14.68,17.24
1071,GEVD,31.2,13.62,0.2,30.0,60.0,0.1,3.14,6.98,17.73
1072,GEVD,31.136,16.77,0.2,30.0,50.0,-13.57,4.07,-9.46,30.62
1073,GEVD,31.936,16.05,0.2,30.0,150.0,4.21,-5.2,19.45,-2.05
1074,GEVD,30.112,12.16,0.2,30.0,80.0,4.83,-3.47,21.97,5.83
1075,GEVD,30.816,15.74,0.2,30.0,50.0,4.3,7.39,8.21,18.14
1076,GEVD,31.008,13.63,0.2,30.0,20.0,-25.37,0.24,1.91,3.33
1077,GEVD,29.248,13.09,0.2,30.0,60.0,-0.98,-2.18,10.45,6.42
1078,GEVD,33.312,17.71,0.2,30.0,130.0,1.65,-11.69,23.86,-7.22
1079,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1080,GEVD,70.56,103.28,0.2,30.0,120.0,-1.55,1.59,10.13,14.25
1081,GEVD,69.664,165.56,0.2,30.0,50.0,5.37,-6.55,21.69,-0.81
1082,GEVD,71.36,201.63,0.2,30.0,110.0,3.56,-5.17,23.48,5.89
1083,GEVD,71.68,186.21,0.2,30.0,30.0,3.63,-4.69,20.79,1.03
1084,GEVD,72.416,204.61,0.2,30.0,70.0,2.63,0.22,15.96,11.4
1085,GEVD,70.528,193.03,0.2,30.0,40.0,4.14,1.18,15.06,12.9
1086,GEVD,70.752,176.57,0.2,30.0,150.0,-0.9,0.17,9.63,15.42
1087,GEVD,69.472,154.06,0.2,30.0,50.0,-0.86,2.04,8.25,14.78
1088,GEVD,70.272,54.44,0.2,30.0,20.0,-6.08,-5.98,2.14,0.67
1060,PASTD,14.304,3.25,0.2,30.0,60.0,16.71,17.06,26.3,25.45
1061,PASTD,17.568,2.83,0.2,30.0,90.0,13.26,2.43,27.78,5.23
1062,PASTD,13.056,3.27,0.2,30.0,50.0,10.73,8.26,20.7,11.07
1063,PASTD,14.336,2.89,0.2,30.0,150.0,6.08,8.9,13.26,16.05
1064,PASTD,14.88,3.98,0.2,30.0,110.0,2.97,14.56,4.55,28.91
1065,PASTD,13.76,2.97,0.2,30.0,100.0,10.55,15.45,12.15,25.02
1066,PASTD,15.968,3.23,0.2,30.0,30.0,6.85,8.64,8.44,18.55
1067,PASTD,12.128,2.54,0.2,30.0,110.0,16.89,10.98,20.73,15.61
1068,PASTD,12.096,1.8,0.2,30.0,40.0,15.74,13.33,22.78,18.63
1069,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1070,PASTD,33.056,8.98,0.2,30.0,90.0,9.06,11.62,20.0,21.36
1071,PASTD,31.2,11.53,0.2,30.0,60.0,1.52,3.59,8.2,17.53
1072,PASTD,31.136,10.03,0.2,30.0,50.0,-7.53,5.84,0.28,30.49
1073,PASTD,31.936,9.04,0.2,30.0,150.0,5.37,2.33,21.85,12.23
1074,PASTD,30.112,7.2,0.2,30.0,80.0,3.38,-7.19,20.45,-0.89
1075,PASTD,30.816,9.14,0.2,30.0,50.0,5.04,8.1,10.99,20.32
1076,PASTD,31.008,9.16,0.2,30.0,20.0,-0.89,-26.52,2.41,-0.58
1077,PASTD,29.248,9.44,0.2,30.0,60.0,1.0,-1.61,15.07,6.36
1078,PASTD,33.312,10.08,0.2,30.0,130.0,3.95,-4.6,24.85,2.08
1079,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1080,PASTD,70.56,30.23,0.2,30.0,120.0,0.03,3.74,12.03,20.59
1081,PASTD,69.664,32.39,0.2,30.0,50.0,9.58,1.44,18.59,14.83
1082,PASTD,71.36,46.02,0.2,30.0,110.0,8.9,-0.99,24.83,12.13
1083,PASTD,71.68,32.96,0.2,30.0,30.0,6.13,0.93,21.65,14.01
1084,PASTD,72.416,70.92,0.2,30.0,70.0,6.23,3.16,22.88,15.4
1085,PASTD,70.528,158.77,0.2,30.0,40.0,6.44,3.62,19.7,15.68
1086,PASTD,70.752,235.7,0.2,30.0,150.0,4.46,4.31,20.35,12.21
1087,PASTD,69.472,51.89,0.2,30.0,50.0,1.35,3.04,13.24,21.33
1088,PASTD,70.272,52.4,0.2,30.0,20.0,0.5,1.79,13.11,10.03
