run_idx,method,wav_length_sec,time_sec,T60,SNR_diffuse,mean_separation_deg,sdr_spk0,sdr_spk1,sir_spk0,sir_spk1
2000,GEVD,12.224,6.09,0.3,10.0,60.0,12.09,7.42,24.46,15.35
2001,GEVD,12.512,6.24,0.3,10.0,30.0,-6.13,10.05,-2.07,23.95
2002,GEVD,14.048,6.72,0.3,10.0,30.0,6.15,11.65,13.79,18.22
2003,GEVD,13.408,5.44,0.3,10.0,80.0,7.25,6.74,18.77,12.72
2004,GEVD,12.672,5.47,0.3,10.0,40.0,2.96,8.53,10.38,15.97
2005,GEVD,12.64,5.13,0.3,10.0,90.0,4.27,-4.47,16.6,-0.88
2006,GEVD,12.8,5.24,0.3,10.0,140.0,10.0,6.53,19.56,11.14
2007,GEVD,14.272,6.15,0.3,10.0,130.0,5.83,8.19,16.34,14.02
2008,GEVD,14.144,6.43,0.3,10.0,40.0,7.1,5.1,11.42,15.12
2009,GEVD,12.224,4.54,0.3,10.0,40.0,0.38,8.77,5.77,21.77
2010,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2011,GEVD,20.256,10.16,0.3,10.0,160.0,2.53,7.86,9.63,17.71
2012,GEVD,20.064,11.21,0.3,10.0,90.0,9.13,-4.66,26.77,1.29
2013,GEVD,20.288,9.88,0.3,10.0,50.0,5.77,4.0,14.56,14.32
2014,GEVD,20.704,9.85,0.3,10.0,120.0,10.17,0.12,26.06,8.62
2015,GEVD,20.0,9.16,0.3,10.0,60.0,6.68,-1.28,17.97,6.6
2016,GEVD,21.888,11.21,0.3,10.0,110.0,7.93,1.98,18.94,9.21
2017,GEVD,21.568,10.08,0.3,10.0,20.0,2.71,-23.27,5.15,0.28
2018,GEVD,20.512,8.02,0.3,10.0,70.0,5.01,4.5,13.65,10.88
2019,GEVD,18.912,8.13,0.3,10.0,110.0,6.12,5.66,20.25,12.64
2020,GEVD,22.688,11.76,0.3,10.0,120.0,5.25,0.37,15.15,9.54
2021,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022,GEVD,29.984,17.79,0.3,10.0,60.0,2.49,8.94,12.97,22.6
2023,GEVD,29.44,16.67,0.3,10.0,80.0,-3.2,7.77,6.27,21.85
2024,GEVD,30.048,14.49,0.3,10.0,160.0,7.65,3.2,20.99,11.19
2025,GEVD,29.312,14.49,0.3,10.0,40.0,1.45,6.3,10.7,16.56
2026,GEVD,29.504,18.05,0.3,10.0,60.0,-2.4,7.71,7.14,22.33
2027,GEVD,29.152,10.88,0.3,10.0,50.0,3.17,4.67,10.74,16.48
2028,GEVD,29.728,15.66,0.3,10.0,40.0,5.04,5.7,16.03,18.52
2029,GEVD,29.984,18.17,0.3,10.0,70.0,5.92,7.29,16.4,18.3
2030,GEVD,30.272,21.61,0.3,10.0,30.0,6.43,1.59,17.2,10.64
2031,GEVD,28.992,12.49,0.3,10.0,30.0,4.2,-0.8,18.58,9.05
2032,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2033,GEVD,39.808,20.91,0.3,10.0,130.0,5.29,2.81,14.59,15.18
2034,GEVD,40.0,20.87,0.3,10.0,70.0,4.02,6.54,16.19,16.65
2035,GEVD,42.176,22.86,0.3,10.0,110.0,3.14,-5.44,17.42,2.63
2036,GEVD,43.68,31.48,0.3,10.0,30.0,8.24,-4.31,22.64,1.91
2037,GEVD,39.744,22.93,0.3,10.0,110.0,4.4,4.6,17.82,14.21
2038,GEVD,41.184,45.19,0.3,10.0,70.0,-0.76,6.96,9.42,20.65
2039,GEVD,39.52,44.33,0.3,10.0,30.0,2.26,6.62,12.2,18.13
2040,GEVD,41.92,55.83,0.3,10.0,100.0,5.18,6.68,15.58,19.62
2041,GEVD,40.768,46.44,0.3,10.0,40.0,2.51,-0.95,14.82,7.83
2042,GEVD,40.704,22.1,0.3,10.0,150.0,-3.18,4.67,6.0,21.63
2043,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2044,GEVD,48.512,33.26,0.3,10.0,70.0,-1.32,4.99,11.69,19.23
2045,GEVD,50.368,36.78,0.3,10.0,20.0,-5.36,-8.05,-2.28,3.48
2046,GEVD,50.24,29.75,0.3,10.0,70.0,3.36,2.68,14.29,11.5
2047,GEVD,48.384,51.63,0.3,10.0,140.0,6.56,0.78,22.34,10.72
2048,GEVD,50.56,57.91,0.3,10.0,120.0,1.51,-2.65,12.54,5.66
2049,GEVD,49.568,81.92,0.3,10.0,50.0,3.84,1.06,19.56,9.04
2050,GEVD,50.112,82.79,0.3,10.0,60.0,0.37,4.49,14.57,15.01
2051,GEVD,50.432,86.86,0.3,10.0,50.0,2.05,6.72,12.4,19.04
2052,GEVD,48.896,84.26,0.3,10.0,50.0,4.88,1.39,15.98,13.58
2053,GEVD,48.832,32.08,0.3,10.0,130.0,2.65,5.69,13.29,18.18
2054,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2055,GEVD,60.928,44.38,0.3,10.0,40.0,1.2,1.73,13.13,11.73
2056,GEVD,60.192,39.2,0.3,10.0,70.0,6.63,6.33,19.71,15.24
2057,GEVD,60.384,85.64,0.3,10.0,20.0,-0.16,-30.14,3.26,1.27
2058,GEVD,61.152,159.12,0.3,10.0,20.0,-9.09,-4.21,-3.47,7.24
2059,GEVD,60.928,145.24,0.3,10.0,30.0,4.77,2.72,16.5,12.1
2060,GEVD,62.944,146.89,0.3,10.0,20.0,2.15,-29.05,5.91,-0.02
2061,GEVD,62.464,155.0,0.3,10.0,80.0,0.89,8.64,12.71,22.93
2062,GEVD,60.288,136.62,0.3,10.0,20.0,-30.26,1.53,0.28,4.18
2063,GEVD,61.536,46.73,0.3,10.0,110.0,6.6,0.21,20.48,10.55
2064,GEVD,60.8,47.76,0.3,10.0,110.0,7.7,-10.4,27.68,0.44
2065,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2066,GEVD,69.632,51.61,0.3,10.0,90.0,5.45,-0.61,19.89,9.75
2067,GEVD,68.096,41.48,0.3,10.0,120.0,3.51,5.82,17.33,22.72
2068,GEVD,69.472,81.71,0.3,10.0,120.0,5.76,-3.35,20.16,5.9
2069,GEVD,71.424,57.46,0.3,10.0,40.0,3.78,-6.1,21.23,4.35
2070,GEVD,69.12,107.5,0.3,10.0,20.0,-12.62,-4.37,26.96,-3.0
2071,GEVD,71.264,211.59,0.3,10.0,50.0,3.04,3.31,15.33,15.47
2072,GEVD,68.8,226.92,0.3,10.0,110.0,8.14,-8.84,30.26,3.32
2073,GEVD,69.856,211.6,0.3,10.0,110.0,3.3,4.48,17.34,20.09
2074,GEVD,70.144,56.63,0.3,10.0,160.0,-5.79,4.76,5.03,23.46
2075,GEVD,70.88,56.55,0.3,10.0,130.0,4.96,-4.71,23.47,4.46
2000,PASTD,12.224,2.97,0.3,10.0,60.0,11.93,7.4,24.38,15.38
2001,PASTD,12.512,3.98,0.3,10.0,30.0,-4.92,10.62,-0.44,21.83
2002,PASTD,14.048,4.41,0.3,10.0,30.0,6.47,12.15,14.18,19.34
2003,PASTD,13.408,3.7,0.3,10.0,80.0,7.07,6.49,17.18,12.69
2004,PASTD,12.672,3.52,0.3,10.0,40.0,3.17,7.85,9.59,16.75
2005,PASTD,12.64,3.87,0.3,10.0,90.0,6.81,-2.75,18.28,2.42
2006,PASTD,12.8,3.81,0.3,10.0,140.0,8.82,5.88,17.77,10.5
2007,PASTD,14.272,3.91,0.3,10.0,130.0,5.63,7.79,16.13,13.56
2008,PASTD,14.144,4.09,0.3,10.0,40.0,7.3,5.36,11.98,14.48
2009,PASTD,12.224,3.39,0.3,10.0,40.0,-0.47,8.46,5.09,19.73
2010,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2011,PASTD,20.256,6.97,0.3,10.0,160.0,2.96,8.1,11.18,17.42
2012,PASTD,20.064,7.56,0.3,10.0,90.0,9.92,-4.37,26.77,3.25
2013,PASTD,20.288,7.25,0.3,10.0,50.0,5.97,4.0,15.6,15.58
2014,PASTD,20.704,7.04,0.3,10.0,120.0,11.25,1.4,27.92,10.61
2015,PASTD,20.0,6.23,0.3,10.0,60.0,5.89,-2.35,16.68,6.22
2016,PASTD,21.888,6.97,0.3,10.0,110.0,8.14,2.58,23.09,10.09
2017,PASTD,21.568,5.75,0.3,10.0,20.0,2.84,-23.27,5.63,0.28
2018,PASTD,20.512,5.71,0.3,10.0,70.0,5.84,4.72,16.79,9.39
2019,PASTD,18.912,5.58,0.3,10.0,110.0,5.91,6.62,19.88,15.6
2020,PASTD,22.688,8.23,0.3,10.0,120.0,7.02,1.97,21.97,11.27
2021,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022,PASTD,29.984,11.46,0.3,10.0,60.0,2.25,8.44,17.19,21.82
2023,PASTD,29.44,12.03,0.3,10.0,80.0,-1.23,7.93,10.61,23.23
2024,PASTD,30.048,10.12,0.3,10.0,160.0,7.7,3.31,23.81,12.76
2025,PASTD,29.312,11.05,0.3,10.0,40.0,2.13,7.38,12.42,19.23
2026,PASTD,29.504,10.98,0.3,10.0,60.0,-0.78,8.32,11.88,21.33
2027,PASTD,29.152,9.87,0.3,10.0,50.0,2.01,5.02,14.49,13.84
2028,PASTD,29.728,11.3,0.3,10.0,40.0,5.55,5.53,16.74,19.29
2029,PASTD,29.984,11.37,0.3,10.0,70.0,5.37,6.26,18.95,17.19
2030,PASTD,30.272,13.17,0.3,10.0,30.0,6.72,0.84,14.54,13.66
2031,PASTD,28.992,8.8,0.3,10.0,30.0,4.45,-0.79,17.38,8.84
2032,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2033,PASTD,39.808,16.58,0.3,10.0,130.0,6.16,2.22,15.39,15.78
2034,PASTD,40.0,13.95,0.3,10.0,70.0,3.85,6.82,16.6,19.76
2035,PASTD,42.176,16.19,0.3,10.0,110.0,4.02,-3.75,14.4,5.68
2036,PASTD,43.68,18.23,0.3,10.0,30.0,8.02,-3.93,22.29,7.56
2037,PASTD,39.744,14.45,0.3,10.0,110.0,4.55,5.01,20.61,15.86
2038,PASTD,41.184,15.7,0.3,10.0,70.0,0.47,7.33,12.94,22.15
2039,PASTD,39.52,16.07,0.3,10.0,30.0,2.0,6.11,14.69,18.4
2040,PASTD,41.92,16.84,0.3,10.0,100.0,4.18,5.97,15.19,20.25
2041,PASTD,40.768,14.72,0.3,10.0,40.0,3.07,-0.76,13.46,8.65
2042,PASTD,40.704,24.85,0.3,10.0,150.0,-0.52,6.77,7.4,25.02
2043,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2044,PASTD,48.512,20.8,0.3,10.0,70.0,0.91,6.92,14.94,20.38
2045,PASTD,50.368,21.02,0.3,10.0,20.0,-3.94,-5.14,-0.61,10.56
2046,PASTD,50.24,21.28,0.3,10.0,70.0,2.12,2.15,13.65,11.19
2047,PASTD,48.384,20.29,0.3,10.0,140.0,7.93,2.32,25.36,14.67
2048,PASTD,50.56,21.48,0.3,10.0,120.0,4.07,0.72,16.62,13.9
2049,PASTD,49.568,20.83,0.3,10.0,50.0,4.04,1.13,19.13,8.91
2050,PASTD,50.112,22.93,0.3,10.0,60.0,0.52,4.57,14.6,16.12
2051,PASTD,50.432,23.12,0.3,10.0,50.0,2.9,7.17,14.42,20.39
2052,PASTD,48.896,47.45,0.3,10.0,50.0,4.7,0.27,15.78,12.81
2053,PASTD,48.832,22.79,0.3,10.0,130.0,3.27,6.11,15.22,20.93
