run_idx,method,wav_length_sec,time_sec,T60,SNR_diffuse,mean_separation_deg,sdr_spk0,sdr_spk1,sir_spk0,sir_spk1,sar_spk0,sar_spk1
1,PASTD,16.064,9.07,0.3,10.0,150.0,1.79,10.67,11.1,18.94,2.65,11.42
2,PASTD,14.336,3.83,0.3,10.0,110.0,9.91,8.64,17.33,18.07,10.85,9.23
3,PASTD,14.656,3.02,0.3,10.0,60.0,10.19,8.11,20.64,16.41,10.64,8.9
4,PASTD,14.784,3.6,0.3,10.0,70.0,8.15,6.89,15.37,12.76,9.19,8.42
5,PASTD,14.112,2.78,0.3,10.0,130.0,9.72,2.18,23.39,6.16,9.93,5.33
6,PASTD,12.832,3.26,0.3,10.0,50.0,-3.48,9.93,0.48,21.8,1.53,10.25
7,PASTD,14.88,3.05,0.3,10.0,20.0,-18.22,5.15,0.25,6.95,-15.27,10.63
8,PASTD,13.152,3.57,0.3,10.0,30.0,6.47,6.78,16.13,16.58,7.08,7.36
9,PASTD,13.472,4.19,0.3,10.0,50.0,9.43,2.82,14.52,11.86,11.19,3.68
10,PASTD,14.4,3.7,0.3,10.0,50.0,6.69,2.7,17.39,6.3,7.16,6.1
11,PASTD,14.176,4.25,0.3,10.0,100.0,6.77,8.29,11.98,20.56,8.6,8.6
12,PASTD,14.656,4.3,0.3,10.0,100.0,7.62,6.69,12.25,15.54,9.71,7.42
13,PASTD,15.296,4.44,0.3,10.0,70.0,2.67,8.82,6.99,17.93,5.47,9.46
14,PASTD,12.928,3.35,0.3,10.0,40.0,4.16,6.57,14.11,10.29,4.79,9.35
15,PASTD,12.448,3.67,0.3,10.0,40.0,8.95,1.73,14.29,10.33,10.61,2.76
16,PASTD,13.568,4.5,0.3,10.0,70.0,-1.76,10.5,5.32,22.98,0.31,10.77
17,PASTD,14.048,3.49,0.3,10.0,60.0,9.31,5.44,20.58,8.15,9.68,9.39
18,PASTD,12.032,2.11,0.3,10.0,20.0,7.68,1.33,18.04,4.11,8.17,6.01
19,PASTD,13.664,3.92,0.3,10.0,50.0,4.43,5.85,10.26,13.75,6.13,6.8
20,PASTD,21.248,6.19,0.3,10.0,130.0,10.37,8.2,20.35,17.0,10.87,8.9
21,PASTD,16.608,4.12,0.3,10.0,150.0,-5.37,8.58,-2.83,19.36,2.83,9.01
22,PASTD,13.28,2.33,0.3,10.0,70.0,0.87,8.03,5.47,21.68,3.8,8.25
23,PASTD,13.888,2.81,0.3,10.0,20.0,0.07,-18.74,4.34,-0.36,3.46,-15.48
24,PASTD,15.584,4.21,0.3,10.0,40.0,9.3,-4.59,22.31,1.11,9.55,-0.74
25,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26,PASTD,13.568,3.76,0.5,10.0,150.0,6.06,-0.05,18.4,8.49,6.38,1.18
27,PASTD,15.008,4.24,0.5,10.0,30.0,2.04,6.1,11.08,14.12,2.95,7.01
28,PASTD,12.256,2.93,0.5,10.0,90.0,-5.87,3.53,-2.69,19.34,1.53,3.69
29,PASTD,13.12,3.68,0.5,10.0,50.0,6.98,-1.75,20.12,7.04,7.24,-0.35
30,PASTD,12.48,3.42,0.5,10.0,110.0,-4.33,9.01,1.8,18.6,-0.92,9.58
31,PASTD,15.552,4.54,0.5,10.0,90.0,5.5,1.46,17.81,8.42,5.83,3.02
32,PASTD,14.528,4.15,0.5,10.0,150.0,6.85,1.16,18.96,6.09,7.18,3.79
33,PASTD,11.744,1.99,0.5,10.0,30.0,-17.28,-0.89,0.33,5.0,-14.36,1.59
34,PASTD,13.696,3.97,0.5,10.0,150.0,4.82,0.28,14.19,9.2,5.51,1.37
