run_idx,method,wav_length_sec,time_sec,T60,SNR_diffuse,mean_separation_deg,sdr_spk0,sdr_spk1,sir_spk0,sir_spk1,sar_spk0,sar_spk1,sdr_mean,sir_mean,sar_mean
1,PASTD,16.064,9.07,0.3,10.0,150.0,1.79,10.67,11.1,18.94,2.65,11.42,6.23,15.02,7.035
2,PASTD,14.336,3.83,0.3,10.0,110.0,9.91,8.64,17.33,18.07,10.85,9.23,9.275,17.7,10.04
3,PASTD,14.656,3.02,0.3,10.0,60.0,10.19,8.11,20.64,16.41,10.64,8.9,9.149999999999999,18.525,9.77
4,PASTD,14.784,3.6,0.3,10.0,70.0,8.15,6.89,15.37,12.76,9.19,8.42,7.52,14.065,8.805
5,PASTD,14.112,2.78,0.3,10.0,130.0,9.72,2.18,23.39,6.16,9.93,5.33,5.95,14.775,7.63
6,PASTD,12.832,3.26,0.3,10.0,50.0,-3.48,9.93,0.48,21.8,1.53,10.25,3.2249999999999996,11.14,5.89
9,PASTD,13.472,4.19,0.3,10.0,50.0,9.43,2.82,14.52,11.86,11.19,3.68,6.125,13.19,7.435
10,PASTD,14.4,3.7,0.3,10.0,50.0,6.69,2.7,17.39,6.3,7.16,6.1,4.695,11.845,6.63
11,PASTD,14.176,4.25,0.3,10.0,100.0,6.77,8.29,11.98,20.56,8.6,8.6,7.529999999999999,16.27,8.6
12,PASTD,14.656,4.3,0.3,10.0,100.0,7.62,6.69,12.25,15.54,9.71,7.42,7.155,13.895,8.565000000000001
13,PASTD,15.296,4.44,0.3,10.0,70.0,2.67,8.82,6.99,17.93,5.47,9.46,5.745,12.46,7.465
16,PASTD,13.568,4.5,0.3,10.0,70.0,-1.76,10.5,5.32,22.98,0.31,10.77,4.37,14.15,5.54
17,PASTD,14.048,3.49,0.3,10.0,60.0,9.31,5.44,20.58,8.15,9.68,9.39,7.375,14.364999999999998,9.535
19,PASTD,13.664,3.92,0.3,10.0,50.0,4.43,5.85,10.26,13.75,6.13,6.8,5.14,12.004999999999999,6.465
20,PASTD,21.248,6.19,0.3,10.0,130.0,10.37,8.2,20.35,17.0,10.87,8.9,9.285,18.675,9.885
21,PASTD,16.608,4.12,0.3,10.0,150.0,-5.37,8.58,-2.83,19.36,2.83,9.01,1.605,8.265,5.92
22,PASTD,13.28,2.33,0.3,10.0,70.0,0.87,8.03,5.47,21.68,3.8,8.25,4.449999999999999,13.575,6.025
26,PASTD,13.568,3.76,0.5,10.0,150.0,6.06,-0.05,18.4,8.49,6.38,1.18,3.005,13.445,3.78
28,PASTD,12.256,2.93,0.5,10.0,90.0,-5.87,3.53,-2.69,19.34,1.53,3.69,-1.1700000000000002,8.325,2.61
29,PASTD,13.12,3.68,0.5,10.0,50.0,6.98,-1.75,20.12,7.04,7.24,-0.35,2.615,13.58,3.4450000000000003
30,PASTD,12.48,3.42,0.5,10.0,110.0,-4.33,9.01,1.8,18.6,-0.92,9.58,2.34,10.200000000000001,4.33
31,PASTD,15.552,4.54,0.5,10.0,90.0,5.5,1.46,17.81,8.42,5.83,3.02,3.48,13.114999999999998,4.425
32,PASTD,14.528,4.15,0.5,10.0,150.0,6.85,1.16,18.96,6.09,7.18,3.79,4.005,12.525,5.484999999999999
34,PASTD,13.696,3.97,0.5,10.0,150.0,4.82,0.28,14.19,9.2,5.51,1.37,2.5500000000000003,11.695,3.44
35,PASTD,12.608,3.16,0.5,10.0,130.0,3.7,6.8,14.19,13.94,4.27,7.91,5.25,14.065,6.09
36,PASTD,12.992,3.28,0.5,10.0,110.0,2.95,6.79,8.93,18.61,4.73,7.14,4.87,13.77,5.9350000000000005
37,PASTD,13.984,4.15,0.5,10.0,50.0,9.05,3.4,14.67,11.15,10.58,4.52,6.2250000000000005,12.91,7.55
38,PASTD,14.4,4.01,0.5,10.0,130.0,3.89,5.21,13.41,12.32,4.6,6.39,4.55,12.865,5.494999999999999
39,PASTD,13.76,3.82,0.5,10.0,80.0,5.4,-2.51,19.9,3.82,5.6,0.15,1.4450000000000003,11.86,2.875
42,PASTD,14.112,3.91,0.5,10.0,90.0,5.58,2.26,17.54,9.69,5.94,3.57,3.92,13.614999999999998,4.755
43,PASTD,18.368,5.73,0.5,10.0,50.0,3.09,2.84,11.02,6.33,4.18,6.32,2.965,8.675,5.25
44,PASTD,11.072,2.6,0.5,10.0,110.0,4.62,2.44,12.41,12.48,5.65,3.13,3.5300000000000002,12.445,4.390000000000001
