run_idx,method,wav_length_sec,time_sec,T60,SNR_diffuse,mean_separation_deg,sdr_spk0,sdr_spk1,sir_spk0,sir_spk1,sar_spk0,sar_spk1,sdr_mean,sir_mean,sar_mean
7,PASTD,14.88,3.05,0.3,10.0,20.0,-18.22,5.15,0.25,6.95,-15.27,10.63,-6.534999999999999,3.6,-2.3199999999999994
8,PASTD,13.152,3.57,0.3,10.0,30.0,6.47,6.78,16.13,16.58,7.08,7.36,6.625,16.354999999999997,7.220000000000001
14,PASTD,12.928,3.35,0.3,10.0,40.0,4.16,6.57,14.11,10.29,4.79,9.35,5.365,12.2,7.07
15,PASTD,12.448,3.67,0.3,10.0,40.0,8.95,1.73,14.29,10.33,10.61,2.76,5.34,12.309999999999999,6.685
18,PASTD,12.032,2.11,0.3,10.0,20.0,7.68,1.33,18.04,4.11,8.17,6.01,4.505,11.075,7.09
23,PASTD,13.888,2.81,0.3,10.0,20.0,0.07,-18.74,4.34,-0.36,3.46,-15.48,-9.334999999999999,1.99,-6.01
24,PASTD,15.584,4.21,0.3,10.0,40.0,9.3,-4.59,22.31,1.11,9.55,-0.74,2.3550000000000004,11.709999999999999,4.405
27,PASTD,15.008,4.24,0.5,10.0,30.0,2.04,6.1,11.08,14.12,2.95,7.01,4.07,12.6,4.98
33,PASTD,11.744,1.99,0.5,10.0,30.0,-17.28,-0.89,0.33,5.0,-14.36,1.59,-9.085,2.665,-6.385
40,PASTD,11.808,3.27,0.5,10.0,30.0,7.78,3.72,18.78,9.25,8.2,5.64,5.75,14.015,6.92
41,PASTD,15.456,4.37,0.5,10.0,40.0,5.56,-2.74,18.83,3.53,5.82,0.02,1.4099999999999997,11.18,2.92
49,PASTD,12.928,3.65,0.5,10.0,30.0,-8.68,2.99,-4.4,17.62,-0.91,3.21,-2.8449999999999998,6.61,1.15
51,PASTD,11.232,1.48,0.8,10.0,30.0,1.43,-3.0,7.39,2.77,3.42,0.19,-0.785,5.08,1.805
52,PASTD,14.752,3.4,0.8,10.0,40.0,1.16,-4.22,8.77,1.01,2.53,-0.15,-1.5299999999999998,4.89,1.19
56,PASTD,15.264,3.44,0.8,10.0,40.0,0.87,3.18,10.97,10.47,1.65,4.45,2.025,10.72,3.05
61,PASTD,11.52,2.39,0.8,10.0,40.0,0.66,4.21,6.8,11.69,2.69,5.35,2.435,9.245,4.02
62,PASTD,14.88,2.64,0.8,10.0,30.0,-3.0,-0.14,2.19,13.57,0.61,0.24,-1.57,7.88,0.425
65,PASTD,14.624,3.2,0.8,10.0,30.0,-0.1,4.07,6.99,10.9,1.64,5.42,1.985,8.945,3.53
66,PASTD,13.44,2.66,0.8,10.0,20.0,1.56,-1.33,12.47,5.51,2.17,0.76,0.11499999999999999,8.99,1.4649999999999999
69,PASTD,14.976,3.5,0.8,10.0,30.0,3.67,3.03,11.63,11.78,4.71,3.93,3.3499999999999996,11.705,4.32
70,PASTD,16.608,3.7,0.8,10.0,40.0,6.1,-3.76,18.47,1.06,6.42,0.49,1.17,9.764999999999999,3.455
72,PASTD,10.048,0.9,0.8,10.0,30.0,-2.32,-15.87,4.78,0.23,-0.13,-12.86,-9.094999999999999,2.5050000000000003,-6.495
73,PASTD,12.928,2.58,0.8,10.0,30.0,-4.12,2.52,1.88,11.82,-0.69,3.35,-0.8,6.85,1.33
74,PASTD,13.696,2.56,0.8,10.0,20.0,-5.35,-1.87,17.71,0.77,-5.26,4.18,-3.61,9.24,-0.54
76,PASTD,16.032,4.26,1.2,10.0,30.0,-3.29,1.06,4.03,10.86,-0.95,1.88,-1.115,7.445,0.46499999999999997
78,PASTD,13.44,2.5,1.2,10.0,40.0,0.36,-1.21,9.51,4.2,1.39,1.66,-0.425,6.855,1.525
81,PASTD,15.84,3.93,1.2,10.0,40.0,0.29,0.74,8.06,3.65,1.71,5.42,0.515,5.855,3.565
82,PASTD,16.064,2.22,1.2,10.0,20.0,-19.65,-1.58,-0.32,3.45,-16.42,1.68,-10.614999999999998,1.5650000000000002,-7.370000000000001
85,PASTD,17.184,4.12,1.2,10.0,30.0,1.38,0.42,9.65,8.76,2.53,1.65,0.8999999999999999,9.205,2.09
86,PASTD,12.192,2.22,1.2,10.0,40.0,1.88,-3.84,12.91,1.6,2.46,-0.1,-0.98,7.255,1.18
89,PASTD,14.176,2.45,1.2,10.0,20.0,0.2,-12.74,11.24,-7.51,0.87,-2.98,-6.2700000000000005,1.8650000000000002,-1.055
96,PASTD,14.88,2.96,1.2,10.0,30.0,-17.2,1.13,-14.33,20.03,0.43,1.23,-8.035,2.8500000000000005,0.83
97,PASTD,15.008,1.56,1.2,10.0,30.0,1.24,-18.42,6.37,0.4,3.73,-15.55,-8.590000000000002,3.3850000000000002,-5.91
107,PASTD,15.68,3.24,0.3,0.0,30.0,3.88,-19.74,17.03,-0.55,4.18,-16.4,-7.93,8.24,-6.109999999999999
108,PASTD,12.064,2.99,0.3,0.0,30.0,-4.77,9.13,2.84,21.3,-2.13,9.44,2.1800000000000006,12.07,3.655
110,PASTD,14.08,3.57,0.3,0.0,40.0,4.22,4.94,11.26,14.69,5.49,5.58,4.58,12.975,5.535
116,PASTD,16.672,5.33,0.3,0.0,40.0,3.38,-6.73,16.74,0.87,3.67,-3.3,-1.6750000000000003,8.805,0.18500000000000005
118,PASTD,13.376,4.32,0.3,0.0,30.0,-0.16,-9.48,8.15,-1.37,1.15,-5.0,-4.82,3.39,-1.925
122,PASTD,13.28,2.71,0.3,0.0,30.0,1.25,-19.28,5.07,-0.89,4.76,-15.74,-9.015,2.0900000000000003,-5.49
130,PASTD,13.344,3.19,0.3,5.0,30.0,3.85,2.1,10.12,7.45,5.43,4.32,2.975,8.785,4.875
132,PASTD,13.6,3.21,0.3,5.0,40.0,5.49,-6.58,17.93,-2.31,5.82,-0.24,-0.5449999999999999,7.81,2.79
141,PASTD,13.312,3.1,0.3,5.0,40.0,6.91,-1.5,12.71,6.77,8.46,0.03,2.705,9.74,4.245
145,PASTD,12.448,2.43,0.3,5.0,20.0,-17.43,-3.68,-0.75,1.78,-13.94,-0.02,-10.555,0.515,-6.9799999999999995
149,PASTD,14.432,3.84,0.3,5.0,30.0,7.13,2.34,12.46,5.87,8.88,5.89,4.734999999999999,9.165000000000001,7.385
153,PASTD,13.088,2.89,0.3,10.0,20.0,-15.66,3.93,0.52,5.06,-12.8,11.52,-5.865,2.79,-0.6400000000000006
160,PASTD,13.312,3.65,0.3,10.0,40.0,8.15,2.56,16.14,8.67,9.0,4.33,5.355,12.405000000000001,6.665
161,PASTD,16.096,5.07,0.3,10.0,30.0,7.93,1.95,13.54,7.74,9.52,3.96,4.9399999999999995,10.64,6.74
162,PASTD,15.136,3.89,0.3,10.0,40.0,7.35,1.12,17.22,6.04,7.9,3.77,4.234999999999999,11.629999999999999,5.835
170,PASTD,12.064,3.64,0.3,10.0,30.0,4.17,8.1,8.52,16.01,6.74,8.97,6.135,12.265,7.855
172,PASTD,14.208,2.7,0.3,10.0,20.0,-18.51,-0.27,0.18,1.74,-15.53,6.27,-9.39,0.96,-4.63
